'File141';'Statement';'Attribute';'Attribute-link';'Deontic';'Aim';'Direct-Object';'Indirect-Object';'Activation-Condition-Content';'Execution-Constraint-Content';'Logical-combination';'Type';'file.outlinks'
'007.007';'007.007';'Relief Committee';'ReliefCommittee';'must';'develop projects';'for stormwater and interlinking draining systems';'-';'-';'-';'-';'3';'ReliefCommittee Stormwater Systems'
'007.006';'007.006';'Relief Committee';'-';'must';'keep free from encroachments';'drainage channels and also waterways';'-';'at all times';'from other civic projects';'-';'1';''
'007.005';'007.005';'Relief Committee';'ReliefCommittee';'must';'identify';'Vulnerable Areas';'-';'-';'-';'-';'1';'ReliefCommittee Vulnerable Areas 007'
'007.004';'007.004';'Relief Committee';'ReliefCommittee';'shall';'identify';'road and areas prone to inundation and traffic congestion due to rainfall';'-';'-';'-';'-';'1';'ReliefCommittee'
'007.003';'007.003';'Relief Committee';'-';'must';'identify';'vulnerable transport infrastructure';'-';'regularly';'which is 'likely' to be 'inundated'';'-';'1';''
'007.002';'007.002';'Relief Committee';'-';'must';'evict';'encroachments';'-';'-';'which are interfering with flow of rainwater';'-';'1';'Relief Committee CMDA TN Housing Developement Board (or Slum Clearance Board)'
'Reg-ReliefCommittee';'007';'Relief Committee';'ReliefCommittee';'must';'monitor';'(Disaster Mitigation activites)';'-';'at all times';'According to the duties assigned';'-';'3';'ReliefCommittee 007.002 007.003 007.004 007.005 007.006 007.007'
'Reg-ControlRoom-comms';'006.001';'Control Room';'Control Room';'must';'disseminate or coordinate';'information';'to the public';'at all times';'-';'-';'2';'Reg-ControlRoom-relief Control Room'
'Reg-ControlRoom-relief';'006';'Control Room';'Control Room';'must';'mobilize';'essential resources for relief';'-';'-';'with communication to the public';'-';'2';'Reg-ControlRoom-comms Control Room Reg-ControlRoom-comms'
'Reg-SOP-ddma';'005';'Concerned Departments';'-';'must';'follow';'the SOP for disaster response';'-';'in the event of a disaster';'promptly';'-';'4';'City Disaster Management Plan (CDMP)'
'Reg-Tsunami-Alert';'003, 002.004';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'receive';'tsunami alert';'Indian Tsunami Early Warning Centre (ITEWC)';'when it is issued (implied)';'-';'-';'4';'Greater Chennai Corporation Indian Tsunami Early Warning Centre (ITEWC)'
'002.006';'002.006';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'get';'information about disasters';'State Disaster Centre';'-';'-';'-';'4';'Greater Chennai Corporation'
'002.005.03';'002.005.03';'Zonal Officers';'-';'must';'forward';'complaints';'to relevant departments.';'When Citizens make complaints';'-';'-';'2';'002.005.02 002.005'
'002.005.02';'002.005.02';'Zonal Officers';'-';'must';'directly answer';'emergency complain numbers';'-';'at all times';'when the numbers are active';'AND';'2';'002.005 002.005'
'002.005';'002.005';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'operate';'complaint helplines';'Zonal Officer';'-';'at each Zone Head-Quarter must function 24/7 during the North East monsoon';'-';'3';'002.005 002.005.02 002.005.03 Greater Chennai Corporation Zonal Officer'
'002.003';'002.003';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'establish';'an early disaster warning system';'-';'-';'-';'-';'1';'Greater Chennai Corporation Early Disaster Warning System'
'002.002';'002.002';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'establish';'Contact Centres';'Duty Officer, Area Cyclone Warning centre';'-';'for telephones and web';'-';'1';'Greater Chennai Corporation Duty Officer ACWC'
'002.001';'002.001';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'get';'Weather Warning Report';'Metrological Department';'-';'-';'-';'1';'Greater Chennai Corporation Weather Warning Report IMD 002'
'Reg-CDMP-objectives';'002';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'enable / focus / organise';'Disaster Management Plan';'-';'-';'With focus on 6 areas';'-';'3';'002.001 002.002 002.003 002.004 002.005 002.006 Greater Chennai Corporation City Disaster Management Plan (CDMP) 002.001 002.002 002.003 002.004 002.005 002.006'
'Reg-CDMP-SDMA';'001.001';'State Disaster Management Authority';'State Disaster Management Authority (SDMA)';'must/may';'approve';'City Disaster Management Plan (CDMP)';'-';'when it is complete';'-';'-';'3';'State Disaster Management Authority (SDMA) City Disaster Management Plan (CDMP) 001'
'Reg-CDMP-DDMA';'001';'District Disaster Management Authority (DDMA)';'District Disaster Management Authority (DDMA)';'shall';'prepare';'City Disaster Management Plan (CDMP)';'State Disaster Management Authority (SDMA)';'-';'As per Section 31 of the Disaster Management Act, 2005(DM Act)';'AND 001.001';'5';'District Disaster Management Authority (DDMA) City Disaster Management Plan (CDMP) State Disaster Management Authority (SDMA) Disaster Management Act, 2005(DM Act) 001.001'
